author,text,likes,published_at
@b.s-luck,"스쉽은 문제다 예전에도 날씨그따윈데 우소멤버들 부산에 승합차로 왕복하질않나, 날씨에 되게 무던하게하는 경향이있음. 그러다 리얼 큰사고나면 어쩌려고 반복함? 날씨요새 한달전에도 다 알수있는데 미뤄야될거아냐ㅋㅋㅋ 극한노동했네😅",0,2025-02-22T13:30:15Z
@헤헤-f8v2m,울애기현서귀염당.....,0,2025-02-14T23:58:38Z
@개추배추피카추,16:32 원영이 영원히 럭키비키야,0,2025-02-04T08:01:19Z
@ary52526,My favorite movie and my bias hahahaha,0,2025-02-03T02:12:37Z
@KevM-fy4mh,😊❤❤❤❤❤❤😊,0,2025-01-31T00:39:08Z
@마이녕쪼,"아이브가 디뎌!! 신곡이 나오다뉘!!! 완존 럭키비키잔냥!!!!❤❤❤❤❤❤
울 아이브 엠카 1등 축하해!!!",0,2025-01-27T03:40:04Z
@another_chingu,"Sub english please.
International fans needs sub english.",1,2025-01-27T00:52:52Z
@김홍섭-i8k,아이브님신곡이좋아요   다음에도신곡나와라❤!!,1,2025-01-25T12:40:25Z
@김홍섭-i8k,사랑해❤❤❤,0,2025-01-25T12:39:18Z
@경섭이사랑해요,아이브 짱,2,2025-01-24T21:53:27Z
@blueSKY-y4q,Translate pliss😢,0,2025-01-23T12:16:42Z
@575ujangiksanmuksin3,Cote,0,2025-01-23T05:20:46Z
@rosacruz3001,💓💓,0,2025-01-22T03:40:44Z
@郭俊佑-w8z,這新歌讓我朗朗上口，而且妳們這麼可愛，我的心被妳們拿走了。❤❤❤❤❤❤❤❤❤❤❤❤❤ 19:06,0,2025-01-21T16:50:53Z
@lord2smerdis,you are the best IVE...stanning u forever,0,2025-01-19T21:46:44Z
@Hahararaa_uu,가을 선배 예뻐요!!💜🩷💜🩷💜🩷,2,2025-01-19T02:03:49Z
@체리-v8f,"이번 아이브 다 너무이쁘게 나온듯❤
❤
❤❤
❤❤❤
❤❤❤❤
❤❤❤❤❤
❤❤❤❤❤❤",1,2025-01-18T00:55:38Z
@bigpotato.8,7:15  아 레이 귀여웡💗 이때 레이 표정 = 😺,1,2025-01-17T14:46:07Z
@짱이되고싶은유유,아이브멤버 모두다 화이팅!!💗,0,2025-01-17T06:36:58Z
@akbfuru9306,신곡 너무 좋아요!!!! 감사합니다!!!!❤❤❤❤ 어서와용!!!!!!,2,2025-01-17T05:55:27Z
@뾰믱,3:25 라이브 시작이용,0,2025-01-17T04:09:14Z
@Joy_of_Love,아이브 컴백 기다렸어🥺,0,2025-01-17T01:33:21Z
@박소영-y2y6z,아이브화이팅!,0,2025-01-16T14:12:30Z
@희희-r4h,유진누나 이서누나 리즈누나 염색이 알록달록 잘어울려요 너무 예뻐요,0,2025-01-16T07:06:21Z
@희희-r4h,아이브 멤버들은 귀여움을 가지고있어요,0,2025-01-16T05:33:50Z
@희희-r4h,아이브 사랑해요❤❤,0,2025-01-16T05:33:07Z
@김미리-c2q,아이브는 진짜 다 소화해낸다❤신이야....,3,2025-01-16T04:13:28Z
@포카계-g6o,삐약이❤❤,0,2025-01-16T03:59:14Z
@포카계-g6o,울갓기들❤❤,0,2025-01-16T03:56:16Z
@포카계-g6o,갓기들이네품에와줘서고마버❤,0,2025-01-16T03:54:45Z
@포카계-g6o,갓기들❤,0,2025-01-16T03:54:21Z
@포카계-g6o,아이브❤❤,0,2025-01-16T03:54:15Z
@포카계-g6o,아이브❤❤,0,2025-01-16T03:54:12Z
@포카계-g6o,으엥…,0,2025-01-16T03:53:52Z
@MikkyLanCinema,"Having a very pleasant time with IVE EMPATHY, exhilarated for more to come. Delightful live with lovely IVE! ❤️✨💖",0,2025-01-16T01:11:49Z
@dain9,가을이 똥머리너무 예쁘다!😆💗,2,2025-01-15T22:46:03Z
@NorminaAbdul-gt3mx,Rebel Heart Soty,1,2025-01-15T14:32:58Z
@525944,"부탁드립니다! 
일본어 자막을 달아주세요!!👏",0,2025-01-15T11:48:11Z
@pinkface1027,하..진짜 이번 신곡 진짜 내 스타일..,6,2025-01-15T09:19:13Z
@mini_orion_1206,워뇽이는 왜 더 이뻐진 것 같지...?,3,2025-01-15T09:18:56Z
@박세영-t8k,아이브화이팅 ❤❤❤❤🎉🎉🎉🎉🎉,1,2025-01-15T03:10:52Z
@annyeongzforever,48:41 워뇨 너무 ㄱㅇㅇ 😭,0,2025-01-15T02:49:51Z
@annyeongzforever,47:14 안녕즈 꽁냥꽁냥 🥰,0,2025-01-15T02:45:07Z
@나는별이당,"아이브 신곡 진짜 대박나야해❤
진짜 띵곡❤",3,2025-01-15T00:58:07Z
@annyeongzforever,8:54 워녕이는 몰라서 떱떱해 😭,0,2025-01-15T00:18:09Z
@epicaher,gaeul is majestic 🥹🥹💗,1,2025-01-14T21:29:00Z
@ihyeonseo05,아이브 이번신곡 미쳤다❤❤,2,2025-01-14T19:11:06Z
@sofiaaaa28,Maravilhosas meus amores ❤,0,2025-01-14T16:24:37Z
@ななみ-j7n,ジェットコースターの話してるのって、どのあたりですか？？,0,2025-01-14T15:03:45Z
@milk15827,저 생일 지났는데 아이브 노래 기다리면서 있음 아이브 앨범 나오면 바로 구매,0,2025-01-14T14:52:45Z
@최정철-q7j,아이브 다들 예뻐요 ㅎㅎ,1,2025-01-14T13:42:13Z
@Ku893,유진 레이 언니 착장 정보 아시는분..!❤❤,2,2025-01-14T13:30:14Z
@수퍼맨탈,장원영 사진이 최고,0,2025-01-14T13:01:56Z
@수퍼맨탈,반란군심장 노래넘 좋아요,0,2025-01-14T12:50:26Z
@아르핌레사다,아이브 2025년 신곡 대박나자!! 염색한 유진이 인형 실화인가 아이브 오랜만에 나오는 본방도 무조건 사수,2,2025-01-14T11:35:47Z
@자매-s5x,아이브화이팅!,0,2025-01-14T11:30:15Z
@hussey_dive,Yujin so look so beautiful girl ✨✨🌷🌷🌷 I LOVE GRILS IVE EMPATHY COMEBACK REBEL HEART 🌷🌷🌷✨✨✨,6,2025-01-14T10:46:11Z
@fromaespaivenmixxlessillit,흥하자~,0,2025-01-14T10:37:54Z
@김승범-k6l,공주즈 진짜 대박이다.. 너무 예뻐서 말이 안나온다ㅜㅜ,2,2025-01-14T10:09:26Z
