author,text,likes,published_at
@Aisha-fk1uj,I like this sing❤,1,2025-04-20T13:22:38Z
@BenignRedTree,아 은채 왜케 이쁘냐고 짜증날라그러네,0,2025-04-19T12:13:18Z
@kazuhashi-e7t,It's so satisfying to watch them move in perfect synchrony.,3,2025-04-17T16:16:08Z
@율-g3n3u,"의상팀 왜지.....?
내취향은 좀......",0,2025-04-17T06:49:14Z
@고등어-q5e,"은채 팔다리가 길쭉길쭉하니까
춤도 시원시원하니 좋네❤",0,2025-04-16T14:25:13Z
@Airline707,깽깽이춤 너무 좋아요~!!,0,2025-04-16T13:37:00Z
@JackieAhn2000,은채가 미모 칼 갈았네,0,2025-04-16T00:10:20Z
@BX-cl3tx,脚すぎる,0,2025-04-15T15:14:00Z
@寝る義眼で,ウンチェのスタイルバグだろ笑,0,2025-04-12T14:27:19Z
@BND-뽀넥도,그래 은채는 저음 별로라구,0,2025-04-11T23:18:46Z
@たるーとん,ウンチェちゃん足なっっが！！スタイルいい～,0,2025-04-11T22:36:20Z
@syoukichi0934,是非蹴っていただきたい,0,2025-04-11T12:50:25Z
@Bikinitawagerrofficial33,Kaya tante2 aerobik 😅,0,2025-04-11T12:33:28Z
@강동쪽,병맛 중독을 노린건가,1,2025-04-10T12:36:49Z
@칡촉-y9f,고말숙인줄 알앗네,1,2025-04-10T04:05:19Z
@erikah444,It’s giving back on 74,0,2025-04-09T19:12:24Z
@샤브샤브-b6b,"방향은 보이는데 시작점이 문제임
스타일이 뚜렷한디 알던 아님 변화 방향이 아님",1,2025-04-08T15:06:29Z
@gl0xzf41ry,ITS TRENDINGGG,0,2025-04-08T11:45:49Z
@광현안-x8e,개인적인 생각으로 은채 발안무가 아니고 랜덤댄스로 해서 멤버들이 따해서도 괸찬아보이는데 소녀시대가 한번해지만,0,2025-04-08T01:17:48Z
@Zayday-n4y,𝕊𝕝𝕒𝕪❤🎉😊,1,2025-04-07T22:24:31Z
@Sosoh_p,홍은채 예쁘당,0,2025-04-07T15:37:46Z
@lanka0123,えがじゃがうんちぇが綺麗なお姉さんになってる…,1,2025-04-07T13:29:35Z
@케인리,복고컨셉인가  새롭고  웃겨...  ㅎㅎㅎ,2,2025-04-07T03:03:11Z
@Universe_99999,"Chaewon , Sakura , Yunjin , Kazuha , and Eunchae dance skills are as fluid as water 🔥🔥👑",11,2025-04-07T02:36:09Z
@별이랑-q8q,일본단체로 추던그..기괴한거 생각나네,1,2025-04-06T16:08:35Z
@mjimlhp7,Hot이 타이틀 아니었나요? 컴오버 챌린지가 더 많이 보이는것 같은데.. 키오프 이글루 같은 경우인가..?,0,2025-04-06T12:48:56Z
@이이영주-q8p,이게 뭔컨셉이냐....춤은 누가 짜줬냐.. 얘들은 뭔죄냐..,1,2025-04-06T12:10:47Z
@amourhongৎ,oh my baby. .💓,1,2025-04-06T10:50:06Z
@skdjbvggk,은채 너무 이뻐,8,2025-04-06T08:30:40Z
@yuka7740,"this is Sakura’s song, where’s she",0,2025-04-06T07:26:05Z
