author,text,likes,published_at
@정나은-f4p,회발미미 미치겠다 쿨톤헤어 너무 잘받음,0,2025-04-21T04:51:44Z
@하북-e7m,4명다 비주얼 ㅁㅊ,0,2025-04-19T01:29:28Z
@gaeun0828,마지막에 댄스파튀!!!!,0,2025-04-07T17:16:03Z
@bhc1379,그냥 미친 애들 같음 ㅋㅋㅋ,0,2025-04-06T00:28:30Z
@나꼬마-u5o,막내는 이미 급발진 준비😂,0,2025-04-05T14:58:11Z
@suny8944,지락실 나올때까지 숨참음🙌,1,2025-04-05T09:00:57Z
@홍지연-c2q,"저음엔 그냥 아이브 춤추는 사람
점점가면서 지락실이 됨",0,2025-04-01T10:28:58Z
@eunice669,영지는 빵댕이 돌리는걸 왜케 좋아하나😂,0,2025-03-29T22:57:31Z
@헤라스-x4m,아아아하~~ 진짜 너무 재미게 노신다 ㅎㅎㅎㅎ 미챠 😊😂,0,2025-03-26T02:35:16Z
@ysl_jun,폭주기니가 아니라 이건 그냥 폭주잖아 ㅋㅋㅋㅋㅋ,0,2025-03-25T20:44:36Z
@joanneLdv09,지락이들 ❤ ㅜㅜ 은지찡 만화캐릭터 같아 스타일 너무 귀여워요..,0,2025-03-24T15:46:05Z
@Omomoification,I love them together 😂😂 so funny,0,2025-03-24T06:32:45Z
@꼬마마녀-j4u,유진이 언니 왜 아이브에서는 탠션이 제일 좋은데 지락실 합류하면 왜 보통이지?❤❤❤❤❤❤❤❤❤❤,0,2025-03-23T12:46:06Z
@pox2ng,은지님 이 머리 왜이렇게 잘어울려 귀엽다...,0,2025-03-23T03:15:40Z
@악의구렁텅이-t2p,와 미미 머리스탈 개예쁘다,0,2025-03-23T01:28:59Z
@IllilliIIllliiiiIlII0il0,"ㅋㅋㅋㅋㅋㅋ 유진이 미춋냐구 ㅋㅋㅋㅋㅋ 왜저래 ㅋㅋ
(칭찬임)",0,2025-03-21T07:55:40Z
