author,text,likes,published_at
@tehnha4982,"I'm always with u n let's luv forever, sarange.",0,2024-09-30T10:52:09Z
@imexo_l1510,Is anyone here in 2024?,0,2024-08-23T07:10:38Z
@Hansoolove,Hah?? Baru tau ada ofc lirik eng nya wkwk,0,2024-05-28T13:13:04Z
@WiraaryaSaputra47,Love ur voice n ur song,2,2024-05-14T18:25:50Z
@윤미-v8d,항상 응원할게요 힘내세요 그리고 팬으로 사랑해요,1,2024-05-11T12:34:21Z
@fexo-l,انگار تو از بهشت اومدی ^^,1,2024-01-16T05:01:14Z
@Kaedehara_Kazuha.10.29,suho❤,0,2023-10-26T07:54:11Z
@cirahkwon,Listening to this again. Still recovering from hearing this live in Borneo Sonic Music Festival last week 🥺🤍🤍,2,2023-10-12T08:35:55Z
@merikuhibiniu,lebih bagus rhoma irama gais tetewww......🤘,0,2023-09-15T01:47:58Z
@anatvrs,You are amazing Suho 💙,1,2023-08-15T18:33:25Z
@Exenjoy-ij6wq,His voice is soo pretty and comforting,2,2023-07-13T06:50:55Z
@yellowred5769,love this song so much,1,2023-07-12T00:25:02Z
@bbkjyyong,"수호야 안녕, 잘 지내길 바라. 당신이 자랑스러워요. ◠ ̫◠",1,2023-07-11T06:24:41Z
@suhoco7034,You are a wonderful dream for us Junmyeonie.,1,2023-07-06T03:10:53Z
@pingkanpico-jq4nu,Am here again,1,2023-07-04T14:47:23Z
@Squishy1L,I didn't even know this existed.  Thank you for the English lyrics Junmyeon.  you are so thoughtful,0,2023-07-01T00:54:55Z
@밍크베이지,여전히좋네❤벌써 3년...  23년 6월 16일 금,2,2023-06-15T17:13:23Z
@pcyminimalwarm,I really want to have a copy of your first album :((,0,2023-06-14T18:41:04Z
@kimjongin9590,تو تنها آرزوی منی ♡,1,2023-05-05T08:10:02Z
@idir7981,suho's voice is so underrated in exo. i love his voice. although it's soft but very crystal clear. i dunno how to explain it lol..he is one of my fav exo members,0,2023-04-14T04:15:58Z
@xiaomeijing8024,love,0,2023-03-20T14:33:31Z
@myprecioussuho,my fav all the time.,0,2023-02-08T10:52:37Z
@lastscene6851,My love,0,2022-11-04T04:51:23Z
@lastscene6851,♡,0,2022-11-01T05:39:06Z
@anapierre4922,LOVE YOU SUHO,0,2022-10-08T03:39:25Z
@suhotv6894,Yo eggs we so lucky to have this boy dedicating this song to us. Hope we all support his masterpiece,0,2022-08-27T09:47:23Z
@jennihutajulu3369,Baru tau ada official lyric gini,0,2022-08-18T19:12:21Z
@thBBarakahaNazir,Lets agree that we all came here to cry.,1,2022-06-27T07:38:00Z
@bunny.cotton,they should always do this lyrics video for me to stream hehe,1,2022-06-27T05:25:49Z
@dfdfexo9288,Will there ever be a day when I stand in front of you and smile at me?,0,2022-06-09T07:08:04Z
@byulsoo,⋆ ˚｡⋆୨୧˚suho i love You˚୨୧⋆｡˚ ⋆,0,2022-05-24T14:51:11Z
