author,text,likes,published_at
@putrimonata_Coups,💗I Love You So Much My Babe Scoups💗2025.02.02💗💍💐✨,1,2025-03-07T08:22:31Z
@putrimonata_Coups,💖SEVENTEEN FOREVER💙2025.02.02🤍,1,2025-03-07T08:22:22Z
@infp_diana,I'm cringing so hard🤦‍♀️her dress🤦‍♀️,0,2025-02-27T17:44:21Z
@ctlori,🐯🐥🍊🐶🎉🎉🎉🎉🎉🎉🎉,0,2024-10-23T05:15:01Z
@user-mu5jw9wn6d,최예나는 진짜 유명한 오리임,2,2024-08-07T23:56:50Z
@dream_ground_316,최예나 졸귀네,2,2024-06-30T05:45:54Z
@shevieraariesta,YENA SO CUTEEE❤❤😂,3,2024-06-18T10:50:47Z
@uroydcfhnsis,마지막 뒤에서 호시 스마일리 잘추네~,3,2024-05-14T10:18:28Z
@Asian_American_Christian_Love,ㅋㅌㅌㅋㅋㅋㅋ 선배얔ㅋㅋㅋ,1,2024-01-09T02:08:54Z
@RINA-g3x,회사 직원들이 진짜 잘 노는거 같아.......,0,2023-11-24T06:03:00Z
@sabrakadabrava,She gives Hoshi vibes,1,2023-10-11T00:40:14Z
@ささ-b8j9z,귀여워,2,2023-10-09T15:46:40Z
@Yrslmg_1y,승과니 앨범 살살치는거 개기여워...ㅜㅜㅜㅡ,0,2023-10-06T22:24:37Z
@17_Destiny,최예나ㅋㅋㅋ부석순 후배님들이나 가리고 그런연기를 하시는게 어떠신지ㅋㅋㅋ,2,2023-10-03T09:56:47Z
@lillivia,i never knew i needed svt x yena before but my life feels just more full now,1,2023-08-10T14:10:32Z
@inseokjung5306,예나  넘나  예쁘고  날씬하다,12,2023-08-08T08:38:34Z
@래이YT,와!!!!!!!!!!!!!!!!!!!!!!!!!,1,2023-08-01T00:46:18Z
@부계정-e8j8r,도겸이 비율 사기네,1,2023-07-31T16:07:39Z
@GaegulGaegul88,잘샐긴애 옆에 잘생긴애 옆에 예쁜애 옆에 잘생긴 애,3,2023-07-28T11:11:26Z
@abcchocolate8,근뎈ㅋㅋㅋ 거침없이가 5년 전인 걸로 알고 있는데 그럼 부석순으로도 선배 아닌가요??😂😂,1,2023-07-26T02:35:27Z
@xiareeahtherese1386,AAAAAAA BSS WITH MY YENAAAJIGUMINAA,0,2023-07-06T12:40:26Z
@user-gw5pb8qr3s,엔젤릭버스터임?,1,2023-07-01T13:03:21Z
@MongKyu_OUT,선배님이요? ㅋㅋ,0,2023-07-01T03:47:36Z
@wonnunoni_zip,앨범에 부석순 선배님이라고 적어놓은 거 봐ㅋㄱㅋㄱㅋㄱ 귀여워,2,2023-06-24T05:05:28Z
@TzuChang,🎉🎉🎉🎉🎉,0,2023-06-22T15:49:30Z
@sera.3020,"예나가 선배라고?
왜지?",4,2023-06-12T21:41:20Z
@다옐-k9o,예채파  예나 재미이4어,1,2023-06-02T06:27:01Z
