author,text,likes,published_at
@그냥-c5u,미연!@,1,2024-10-13T15:29:18Z
@I_juniper,❤Miyeon's you are my favorite❤You are my angel You are a paradise of Neverland.🎉🎉 you are very beautiful,1,2023-10-24T12:29:42Z
@sichengderella,❤❤❤,0,2023-07-12T23:53:51Z
@The13thSwiftie,Three Visuals in one Frame.,1,2023-06-10T02:53:06Z
@anggunistikomah4843,Eh ada mbk Miyeon,2,2023-06-09T15:58:17Z
@minghaxs,MC doyoung and miyeon again when?,4,2023-05-25T02:29:43Z
@12k-y4q,Miyeon 😘,7,2023-05-18T14:55:20Z
@떽띠송우기,도영이 너무 잘생겼다,6,2023-05-16T04:46:45Z
@teboihiteboihi2953,Kim Jungwoo when your Noona turn?,2,2023-05-05T15:57:42Z
@herbutterfly1916,💚💚💚,0,2023-05-05T09:44:39Z
@Dudyyy123,"🎶🎵🎶 Renjun, miss u 🎵🎶 naaaaa",0,2023-05-02T22:27:53Z
@byunlss,ميوني كيتت,0,2023-05-02T21:37:42Z
@natu9600,"서로 일부러 안보려고 애쓰는거 존나웃기다 ㅋㅋㅋ  카메라 밖에서는 서로 힐끔힐끔 ""와 존나 예쁘네"" ""음 잘생겼네"" 할듯",76,2023-05-02T16:17:43Z
@iceice2290,어머 나의 아이돌들이 한곳에,6,2023-05-02T16:16:41Z
@즌이,조미연 김도영 김정우 셋 다 ㄱㅇㅇ,9,2023-05-02T12:56:02Z
@cutebunnyhops,"doyoung and miyeon dancing together is so cute, they already mced togetehr",14,2023-05-02T02:37:17Z
@sasha-wq4sh,헐 이 안무 미연이랑 개잘어울려 잘춘다 잘 소화한다,45,2023-05-02T01:50:32Z
@rksfip,💚NCT & (G)I-DLE❤️,6,2023-05-01T11:04:25Z
@Lixvator_,Miyeon is EVERYWHERE she's in EVERY entertainment doing dances to EVERY groups songs 😭😭,32,2023-04-30T20:00:31Z
@allkpoplovers9225,That fit on her is just 😍❤️‍🔥💅,2,2023-04-30T10:15:58Z
@kyoheiablaza6070,*Miyeon so adorable. Jungwoo so cutiee and look so happy. And last my bb Doyoung so handsome periodt. Love you my bb oppa. **#NCTDOJAEJUNG** **#Perfume*,8,2023-04-29T15:11:38Z
@ki-yoswishwp483,女性アイドルとそんなに近づきたいのですか？💢😡女性好きもいい加減にしてください💢😡,0,2023-04-29T07:49:51Z
@faithhowerton2249,"This song is giving shineee
Vibesss im so here for it.",1,2023-04-28T23:32:03Z
@iyathoou,정우💚,2,2023-04-28T15:12:24Z
@영문법-y6j,미연이 진짜 호감,120,2023-04-28T14:27:11Z
@프리-h9l,와 ㅅㅂ 개이뻐요 누나,9,2023-04-28T11:09:29Z
@lvehaerin,DOJAEJUNGJMI,2,2023-04-28T07:51:00Z
@saka5saka,갑자기 제 폰에서 향기나요...,5,2023-04-28T05:42:53Z
@fishjari,예쁜 애들의 챌린지라.. 재밌어지겠는 걸..,12,2023-04-28T04:53:26Z
@aqsar0811,Thanks for the challenge,2,2023-04-28T03:50:00Z
@VanessaSantos087,Aaaaaaaaa que lindos,0,2023-04-28T03:12:23Z
@dayya_G,Даддадададад❤,0,2023-04-27T23:25:08Z
@Bianca-bv9po,Waaa miyeon 🤩,4,2023-04-27T21:01:23Z
@peachydile2445,96 97 98 ❤,6,2023-04-27T18:53:58Z
@RiyaWonwoo,Jamal jung be the cameramen? 😂,2,2023-04-27T18:31:54Z
@lilackpop,Meus amores ❤,1,2023-04-27T18:11:16Z
@felliaanggriyanti6450,kak JUNGWOO dance cool and very handsome and very handsome,10,2023-04-27T16:40:31Z
@lulashepard3253,"So, I get to see 3 of the prettiest people on the planet in the same frame.",81,2023-04-27T16:17:11Z
@yumark23,So cute and beautiful,2,2023-04-27T16:03:21Z
@oo9165,인사하는거 개귀엽네ㅋㅋㅋㅋㅋ,88,2023-04-27T15:20:38Z
@ainaaaisyaaabdullah2941,Finally NCT members with Miyeon!!! Hehe pls do challenge everytime you guys have comeback!,52,2023-04-27T15:17:21Z
@ppxls9589,นางฟ้ามิยอน🫣,7,2023-04-27T14:38:32Z
@roseyariana6668,jungwoo cakep bener💚❤️,8,2023-04-27T14:33:12Z
@듀하-w2k,미연 웅니… 너뭉 이쁘자나,97,2023-04-27T14:13:58Z
@ninas4751,OH MY GODD DOYOUNG AND MIYEON 😭😭😭❤️❤️❤️,29,2023-04-27T14:12:16Z
@raissathalitaa8b646,CANTIK BGT MBAA,2,2023-04-27T14:07:30Z
@raissathalitaa8b646,WOY INI MIYEON BENERAN,4,2023-04-27T14:07:13Z
@mariin104,"jungwoo & doyoung ft wendy
now
jungwoo & doyoung ft miyeon",8,2023-04-27T13:56:25Z
@miyeon_0131-zip,미연누나가 뿌리는 향수들 산타마리아노벨라 로사가데니아 / 산타마리아노벨라 프리지아 / 메종루이마리 넘버.04 부아 드 발린코트 / 조말론런던 다크앰버 앤 진저릴리,13,2023-04-27T13:55:58Z
@helminarmy9554,jungwoo very handsome...👍🍊,12,2023-04-27T13:55:52Z
@helminarmy9554,ohhh visual dojungmi...😁💥💥💥,10,2023-04-27T13:55:29Z
@hii_pfhb9846,🥰,1,2023-04-27T13:54:31Z
@krishamilescapacia7552,gosh I've always wanted for doyoung and miyeon to collab😭😘. The visuals😍,145,2023-04-27T13:53:04Z
@tjfg21hvxfh,미연씨 고마워요❤,55,2023-04-27T13:52:32Z
@wanaa.601,Yay finally asking people to do challenge 😂😭❤️,4,2023-04-27T13:50:23Z
@abrown2090,miyeon !!!!!!!,18,2023-04-27T13:47:46Z
@NCTODS,미연님 챌린지해주셔서 감사해요💚 너무너무 이쁘셔...,90,2023-04-27T13:47:43Z
@ayyuwu,Omg miyeon with djj❤,25,2023-04-27T13:45:19Z
@kinnbebe5527,공주와 왕자님들이네,51,2023-04-27T13:40:55Z
@roxanefrancisnorman,Jungwoo❤ looks sooo Happy,27,2023-04-27T13:40:03Z
@hellonewworld4528,챌린지에서 90도 인사 처음봐ㅋㅋㅋㅋ귀여워ㅋㅋ,238,2023-04-27T13:35:29Z
@nataliachristie3689,miyeon,12,2023-04-27T13:34:28Z
@miyeon_0131-zip,미연누나💚💚💚 너무 예뻐용😍🥰😘,20,2023-04-27T13:33:12Z
@nadinekim,아 귀여워 ㅠㅠ,18,2023-04-27T13:31:01Z
@zungvely,미연님🥹💚💚💚💚💚,17,2023-04-27T13:28:02Z
@fleurdons3787,remember when miyeon and doyoung were mcs together 😭,612,2023-04-27T13:26:42Z
@c.upi.dd.,Forst,0,2023-04-27T13:25:09Z
