author,text,likes,published_at
@natashamelliou1471,YUJIN GAEUL REI WONYOUNG LIZ AND LEESEO,0,2025-04-11T16:18:39Z
@nanatsunotaizaidasuki2261,Love ur hair 😍,0,2025-03-27T22:34:11Z
@Jim-ic2of,😎 I'm starting to think you people have my best interest at heart 🤫,0,2025-03-26T01:01:09Z
@김서율-f2p,이서언니 예뻐,0,2025-03-25T12:58:04Z
@jongsuklee-ii6wy,이서짱.  최고,0,2025-03-21T23:22:51Z
@ogaetbabybeel1025,Leeseo is the embodiment of class 😎🥰🔥,0,2025-03-20T11:03:47Z
@김상원-d5k,이쁜이 ❤,0,2025-03-19T13:06:01Z
@dive-b3e,하라라라ㅏ 진짜 이서 미모는 끝장이네 언제 봐도 예뿌자나ㅏㅏㅏㅓㅓㅏ!!!!!!!!,0,2025-03-19T10:26:53Z
@리니_다이브,이서 교복 넘 잘 어울린다❤,0,2025-03-16T03:47:14Z
@bonggyukim1582,겁나예븜❤❤❤❤❤❤❤❤❤❤❤❤그리고 😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊,1,2025-03-15T03:01:17Z
@PingTan-m9m,❤❤❤❤❤cool cool ya y,0,2025-03-14T20:25:34Z
@popmko6216,❤❤❤❤❤❤❤❤❤❤😻😻😻🤟🤟🤟,0,2025-03-13T02:40:23Z
@HAIJUNJIN-n5v,너무 예뻐,0,2025-03-08T11:28:48Z
@zone2796,이서언니 완전 핑크 머리 잘어울려 최고!!,0,2025-03-08T02:02:21Z
@kimunoel,귀여워,1,2025-03-05T08:00:12Z
@windhalbert,愛死LEESEO了,0,2025-03-03T07:24:56Z
@ay_ax,I love you so much Eve ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,0,2025-03-01T08:54:01Z
@김제민-l7k,이서는 노래부를때 너무 불안함 잘 못 부르기도 하고,0,2025-03-01T07:52:31Z
@SH-n5h,내년이면 이제 이서가 20살이네😢,0,2025-03-01T06:22:05Z
@TT-tc6ek,手なが！,0,2025-02-27T08:13:33Z
@이행렬-x1e,언니❤ 사랑해요❤,0,2025-02-27T06:02:52Z
@편집하는은아,아이브막내이서❤❤❤❤,0,2025-02-25T23:31:03Z
@maverick6511,Leeseo looks like Arin from Oh my girl ❤🥰,0,2025-02-25T16:23:43Z
@승억유-k2l,춤선 맘에 안 든다,0,2025-02-25T08:41:53Z
@서현이에하루,이서언니 2025년 수능 합격해 미리 알려줄께,0,2025-02-22T01:58:54Z
@남조학래,❤🎉😢😮😅,0,2025-02-22T00:19:58Z
@소순규-y1o,노래연습하장이서야❤,0,2025-02-20T07:30:36Z
@지엘이놀이터,핑크머리 넘넘 잘어울려요!!,0,2025-02-20T07:16:57Z
@dive-b3e,보라머리 진짜 찰떡!!,0,2025-02-16T10:39:04Z
@dive-b3e,"이서는 진짜 미모가 성장한다❤️❤️
이서야 진짜 사랑행🥰",0,2025-02-16T10:38:49Z
@맃초,요즘 현서 미모폼 미쳤다,0,2025-02-16T04:19:12Z
@다인이노래,이서 언니!언니랑 우리 큰오빠랑 친구예용❤❤❤❤❤❤❤🎉🎉😊😊😊,0,2025-02-15T10:32:09Z
@jeongseo4366,넘   예뻐요❤,0,2025-02-15T01:54:41Z
@ruby_melo-0611.,머리 핑크색으로 하니까 잘어울리는것 같아요,0,2025-02-15T00:15:16Z
@양덕떵,"이서
❤❤❤❤❤❤",0,2025-02-14T13:35:54Z
@feast-el,막냉이❤,0,2025-02-12T23:32:58Z
@通普-l1k,好漂亮呀,0,2025-02-09T14:21:22Z
@neba_never_okula,ぜったいショートカット似合う。イケメンすぎ,0,2025-02-09T06:47:35Z
@8사단수색대대,이서💜,1,2025-02-08T19:04:04Z
@머구먹고있는바선생,이서❤❤❤,0,2025-02-08T08:19:50Z
@Hira-bestjisoo,LOVE ME HATE ME,0,2025-02-06T16:00:15Z
@mulmulppop,イソまる、ピンク髪めっちゃ似合ってる,0,2025-02-06T10:10:28Z
@彰-l4k,길쭉한 고딩,0,2025-02-06T05:24:55Z
@changgilim1175,이.  선생님 안녕하세요 선생님 안녕하세요 선생님 오늘 하루 종일 아침 식사 🍽 아 진짜 사나이 있다 오후 수 있는 것 같다 아 나 지금 너무 좋아 좋아 ㅋㅋ ㅋㅋ ㅋㅋㅋ ㅋㅋ ㅋㅋㅋ ㅋㅋ ㅋㅋㅋ,0,2025-02-06T02:05:13Z
@최예진-j3g,이서 긔여엉❤,0,2025-02-05T11:57:31Z
@럭키hjkgbt,이서 보라머리 너무 이쁘고 교복이랑 너무 잘 어올려❤❤❤❤,0,2025-02-05T09:57:59Z
@이지안-s7c,😢😢❤❤😊😮🎉❤🎉😢😮😊,0,2025-02-04T00:59:42Z
@内田武志-w7g,股下より座高の方が高そう,0,2025-02-03T05:35:42Z
@ch.xy1,"아기호랑이가 왤케 이뿌냐,,,이번 컴백두 완벽해💗💗",1,2025-02-02T17:23:55Z
@nishitripathi2319,👌❤❤❤❤❤❤❤🌹🇮🇳🙏,0,2025-02-02T10:34:16Z
@May-n2f7w,ㅎ걋마ㅐ ㅡㅁ ㄴㅎ걋ㄷ ㅏㄷㄷㄴ데 ㅜㅐ ㅔㅕㄷ내 ㄴㄷ 걉ㄷ ㅅㄱ ㅊ걋ㄷ벼두 ㅡㅁㅁ ㄴ,0,2025-02-02T03:00:04Z
@김요한이,귀엽다 께물어주고픔 나도이서같은딸갖고픔,0,2025-02-01T16:27:36Z
@乃亜っち,覚醒❤,2,2025-02-01T11:54:09Z
@바이올렛-m4b,이쁜  이서♡,0,2025-02-01T06:56:43Z
@뀨티뽀윶-x7i,진짜 개예쁘실게요 보머 이현서씨...,0,2025-02-01T06:39:36Z
@후루-w5q-s8p,호랑이가 무섭지 않고 귀여워❤❤❤,0,2025-01-31T23:49:33Z
@수리-r9j,뭔가 인싸느낌이 되어버렸어,0,2025-01-31T08:33:04Z
@이태경-f8s,학생갔고 머리 ㅈㅇ❤❤,0,2025-01-30T14:10:36Z
@양자역학진자림,카메라무빙 ㅈㄴ 올드하네 ㅋㅋ 마지막 1960년대 인줄 ㅋㅋㅋ,1,2025-01-29T21:28:27Z
@MR-kp4sm,이서는 핑크 머리 진짜 잘 어울리고 너무 예쁨🩷🩷🩷,3,2025-01-29T08:52:24Z
@정윤희-u3f,"나 아이브 처음 시작했을 때 부터 이서팬이 였는데 아직까지 팬이에요!!!!! 이서언니 짱짱짱!❤ 이렇게 어린나이에 멋진 퍼포먼스를 오여줄수있는거에요? 진짜 대단하고, 자랑스럽다!❤",1,2025-01-29T07:04:33Z
@mked-j9c,"What is with her visual 🤩. It surpass 2d A.I graphic, final fantasy girl. Every guys dream girl. Protect her at all cost",0,2025-01-28T21:14:12Z
@카피바라렁횬,❤❤❤,0,2025-01-28T04:58:13Z
@김정희-u3j8f,너무  사랑해 ❤❤❤귀염둥이 ❤❤❤😊😂❤❤,0,2025-01-28T04:45:27Z
@김정희-u3j8f,❤❤❤❤❤❤❤❤❤❤❤❤❤,0,2025-01-28T04:40:23Z
@김정희-u3j8f,우리 지유가 엄청  팬이예요ㆍ이서님,0,2025-01-28T04:40:16Z
@푸딩-t2w,울학교에 이현서라는 오빠 있는데 이서 언니 가 예쁘고 귀여워서 포카 들고갔는데 안이쁘데ㅠ,0,2025-01-28T04:00:29Z
@은희가현,귀요미 😮😮😮😮,0,2025-01-28T03:42:51Z
@Aaa-c1b3q,벌써 2025년이다 새해 복 많이 받아 현서야 너무 무리해서 춤추지 말고..,0,2025-01-27T16:24:20Z
@라이벌팬12,이서 머리색 넘잘어울림💖💜,0,2025-01-27T01:59:42Z
@MBC008,ㅇㅇㄷㄷㄷ,0,2025-01-27T01:43:40Z
@davidlin7270,Merry Christmas2024 and Happy New Year2025聖誕佳節新年快樂 Celebration ✨️,0,2025-01-26T11:00:48Z
@조정휘-q5p,이서 사랑해,1,2025-01-26T07:35:43Z
@kenwinsor1914,Someone paint that boarder 😂🤣😂🤣😂🤣,0,2025-01-26T03:55:22Z
@josegranados-t7o,🥰🥰🥰🥰🥰🥰,0,2025-01-26T02:06:48Z
@이쨔입니다,이서언닝❤❤❤넘이뻐요❤❤❤❤(최애애용❤),0,2025-01-25T16:18:40Z
@Edisodkzidixixi,이서는 모든게 완벽해,0,2025-01-25T15:24:15Z
@高木文広,❤❤❤❤❤,0,2025-01-25T04:17:08Z
@Gyoww,I will love you ❤❤ I don't to hate you,0,2025-01-25T02:08:45Z
@謝福成-i8b,leeseo 😚😚,0,2025-01-24T15:45:55Z
@choiyeji0131,이서 너무 예쁘고 귀엽다.....❤,0,2025-01-24T14:11:02Z
@지후-o7n,"이서 진짜 너무 예쁘다, 1위 축하해 아기호랑이❤ 다이브가 항상 응원할께🎉",0,2025-01-24T07:02:53Z
@겨울언니사랑하는애솜,꺄악 이서 교복 너무 이쁘다 !! 이서랑 찰떡이다 이서 춤실력도 진짜 말해뭐해..❤,0,2025-01-24T00:19:25Z
@잇유_03,이서 넘 예뽀...❤❤❤❤❤😊😊,0,2025-01-24T00:01:51Z
@SeraSera-ps3te,"Leeseo my girl , the uniform looks so good on you ❤",0,2025-01-23T20:35:06Z
@タケコプター-i3f,정말 매력이 넘치는 우리 현서🫶🥹💖완벽한 미모…네가 최고야❤❤❤,0,2025-01-23T15:29:29Z
@권예주-e7n,"이서 머리색 넘 잘어울린다
❤❤",0,2025-01-23T12:55:02Z
