author,text,likes,published_at
@hnineieikhin-xp5wx,❤❤❤❤❤❤❤,0,2025-04-20T17:51:13Z
@ariyantiayu9438,"Semoga kedepannya ada konten2 seperti ini lagi, i miss all member 💚💚",1,2025-04-07T09:36:10Z
@T_Y_Track,2:10 쿤 팀 바꾸는게 줜내웃김 ㅁㅊㅋㅋㅋㅋㅋㅋ,0,2025-03-27T17:11:50Z
@peepeeakio,bring this content back PLEASE WE NEED MAHAE HERE,0,2025-03-25T15:08:24Z
@elloraaina,"2025, please bring back this masterpiece with other member 🙏",7,2025-03-12T07:45:52Z
@채윤아-u2q,1:12  3:50  4:20  11:20  11:58  16:46  19:10,0,2025-03-07T05:36:23Z
@wish4our,1:28 김정우커여워ㅜㅜㅜ,0,2025-02-25T18:57:45Z
@kilimanjarosolon,they need season 2 for this pls i want dreamies to do this,3,2025-02-24T11:22:38Z
@jwlover219,붕방강쥐 김정우,2,2025-02-12T04:51:27Z
@햄님-m2f,아 헨드리 표정 말투 너무 웃겨서 미칠거같음ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,4,2025-02-06T19:13:05Z
@briize_ton,2025년도에 보러온 사람 없나?ㅜ,8,2025-02-02T05:42:17Z
@Melch192,This was so good!!! Shotaro is adorable and all their stresses are valid. Sungchan was also great at moderating,0,2025-02-02T00:51:35Z
@최아랑-x7w,어디갔나요 이 컨텐츠,0,2025-01-29T22:17:44Z
@h00mandxx,SEASON 2 OF THIS PLEASE,3,2025-01-29T15:27:48Z
@Yoon-q2g,근데 이거 해찬이 끼면 진짜 재밌을 것 같아요!,5,2025-01-27T18:52:20Z
@Yoon-q2g,아놔...근데 성쇼 눈물 나네여...,5,2025-01-27T18:44:51Z
@dannielopez7466,triste verlo en este tiempo porque todos dijeron cosas bonitas a Sungchan y la sm simplemente decidió arrebatárnoslo nomas porque si 😭😭😭😭😭,0,2025-01-25T00:16:21Z
@thv2620,shotaro so cute 😂,1,2025-01-18T11:23:27Z
@naziarifka,plss make ONE-TWO PUNCH content againn🙏🙏 its sk fun,1,2025-01-17T11:06:34Z
@naziarifka,hendery never fail to make me laugh😂,0,2025-01-17T11:05:52Z
@히힣-m7l,아 제발 이거 다른 멤버들까지 다 모여서 하는거 보고싶다!!!!!!!!!!!!!!,1,2025-01-04T22:45:43Z
@히힣-m7l,17:40 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ후배들 갑자기 사죄모드 ㅋㅋㅋㅋㅋㅋ근데 도영이 멋지다 후배들한테 그렇게 편하게 해주려고 노력한거 알고 있으면 좋겠단 맘이겠지 ㅎㅎㅎ,2,2025-01-04T22:34:44Z
@히힣-m7l,성찬이 너무 귀엽게 생겼어 ㅠㅠㅠㅠ웃는거 이뻐,4,2025-01-04T22:31:37Z
@jeong0308,우리 성찬이🧡,2,2024-12-29T15:37:03Z
@faraville,"it's so sad that this series discontinued :((
and so happy that Jungwoo now has his talk show (+eating) with Shownu
also thanks to Shotaro and Sungchan for your present in NCT team <3",2,2024-12-23T19:12:12Z
@초코볼-p6f,아우 성쇼 사이좋아 ㅜㅜ 잘하고있어 이러네 아웅,1,2024-12-19T19:19:49Z
@이-v5t6e,5:55 하진자개웃기네 ㅋㅋㅋㅋㅋㅋㅋ,1,2024-11-21T05:47:09Z
@민지-p2y6k,이때 좋앗는데,1,2024-11-12T15:18:00Z
@NongNulala,แค่พูดถึงเตนล์ โดยองต้องดีใจอะไรขนาดนั้นอ่ะคะ 😆,0,2024-11-09T16:11:06Z
@pinkpurple4,정우 저 깐죽이 미치겠네ㅋㅋㅋㅋㅋㅋ,1,2024-10-09T13:15:38Z
@kimjazminbuenafe2007,IM ABOUT TO RAISE THE ROOF GONG MYUNG DOYOUNG HYUNG HYUNG HAHAHAHAHAHA,0,2024-10-08T13:42:59Z
@nctizen29,Still waiting for season 2,3,2024-09-25T15:55:35Z
@Moonandsun1292,Kesini karena ada sungchan and shotaro Riize 😉🧡🧡🧡,1,2024-09-18T01:09:58Z
@lilllulu5225,doyoung bilek : aku suka keributan ini,0,2024-09-15T06:16:36Z
@helloangel2325,Doyoung enjoying the tea from WayV's dorm de most 🤣,0,2024-09-14T17:05:07Z
@Lil_sis_nana,Will always cheerup for you .,0,2024-09-01T17:49:59Z
@Lil_sis_nana,"It's just fun to watch them.
Have a nice journey ahead NCT AND RIIZE 💚🧡",0,2024-09-01T17:49:30Z
@Lil_sis_nana,"Shotaro is  always smiling
So cutee🧡😻",0,2024-09-01T17:48:11Z
@allyyyd,이때 성찬이 왜이렇게 똘똘해보이고 귀엽지ㅠ,0,2024-08-31T19:20:11Z
@reou1638,성쇼 파다가 여기까지 왔는데 헨드리형이랑 성찬이 얘기 너무 훈훈해서 눈물버튼인데??? ㅠㅠㅠ 그리고 정우님?넘 센스있고 귀여우시다,7,2024-08-27T19:22:46Z
@trixiealim,They shouldn’t bring Johnny here. I doubt anyone would dare to say some complaint about him 😂,0,2024-08-24T11:01:17Z
@anne_nctzen,wanted an updated version of the show 😖💚,1,2024-08-17T01:01:51Z
@nurulraysha_afiqah,"9:17  11:39 kun mmg nk hambur hbis kat jungwoo😂😂
11:40 😂😂😂
2:09 😂
4:41 5:02 😂",1,2024-08-11T15:26:09Z
@흐니즈니,"근데 어떻게 이렇게 순하고 착한 애들만 모았지, 다 너무 순둥순둥하고 유해, 서로 디스하고 폭로하는데 마음이 따뜻해져. 얘들아 오래가자",1,2024-08-11T09:40:37Z
