author,text,likes,published_at
@bang.fantastic.7,🔥ty,0,2024-11-30T15:42:46Z
@Jol-v5w,와태용을꿀리게한다고  와바다,1,2024-03-01T11:53:21Z
@pjh4187,피지컬이 엥간한 평균남자들 옢에스면 발리것는디ㅋㅋㅋㅋㅋ,0,2024-01-22T10:26:02Z
@지현서-w9c,"태용 폼 보소?오지구 지리구 미쳤구 도랐구!!!!!!!!!
개 폭룡적 태용`태용이가 지데로 말아잡쉈네?
툥이 툥해쮸>_<?
어구-이뻐라1111111111",0,2024-01-19T20:28:31Z
@홍혁열,왜 싱크가 안맞노,0,2024-01-19T14:19:44Z
@Meowlololololz,THE MV WAS FILMED IN MY COUNTRY AND JUST WHERE I LIVE😭🤍,0,2024-01-13T17:12:52Z
@404-snk,"Awesome reminder of how great Taeyong is, love that guy",0,2024-01-09T18:22:08Z
@molmol247,둘이 같이 있으면 아이디어가 넘친다던데 태용이 다녀오면 두분이서 127  기가막힌 춤 한번 만들어주세요,1,2023-12-28T15:26:39Z
@ymin9365,바다… 어깨 부분 끊는 거 진쯔ㅜ미쳣다 ㅜㅜ,1,2023-12-15T22:47:19Z
@shellygonsalves1944,❤🎉😊,0,2023-11-18T16:45:19Z
@lyme_e,바다 존멋,0,2023-11-17T11:05:10Z
@tovyabravo,I love you BADA LEE,0,2023-11-09T04:24:26Z
@realcrowdplzr,좋은의미로 끼리끼리 논다 더 친하게 지내렴 아기들….❤😊,0,2023-11-02T03:27:43Z
@emmahduboi,insane dance skills!!,0,2023-10-30T14:28:23Z
@sujeong448,안무 너무 좋다,0,2023-10-28T04:30:00Z
@YinFongNgai,koDo❤❤❤❤❤❤❤❤❤❤❤❤❤,0,2023-10-26T12:15:47Z
@error0281,YEDIN KOREOYU YEDIN TAMAM YETER,0,2023-10-25T19:26:12Z
@chanannits8641,BADA LEE slayed,0,2023-10-25T15:04:27Z
@onmymarklee,아니 무슨 바다씨 힘이,1,2023-10-23T05:46:23Z
@jannyampueroperez1379,EXCELENTE! 👌,0,2023-10-22T06:06:46Z
@seren930,바다언니 간지작살이다,1,2023-10-17T13:18:36Z
@ell_m,BADAA!!!!❤❤,1,2023-10-16T07:40:42Z
@FhaiJiya-wj4uq,Bada lee!!❤,0,2023-10-14T10:41:49Z
@febengetachew9765,Waaaa i love this dance and Avery thing,0,2023-10-12T16:17:53Z
@zkdlwxyz,Bada my girl,0,2023-10-11T16:16:58Z
@marionriemann3777,Love jou Love jou Love jou Love jou Love jou Love,0,2023-10-10T16:17:12Z
@Y.A42,간지 미쳤다...,0,2023-10-10T11:04:32Z
@STAY-CLOSE-ZEROSE,I love you all so much  NCT,0,2023-10-09T11:25:56Z
@kookoonuthead5644,Badayaaaa sarangheyooooo💙💙💙💙💙💙🌊🌊🌊🌊🌊🌊🌊🌊,0,2023-10-08T21:48:02Z
@phiilw2068,Failll,0,2023-10-08T11:51:09Z
@renijuita4518,Lee Sibling...😊,0,2023-10-08T07:56:40Z
@TheingiSan-w4w,"Who is Bada Lee
I think it Jaehyun ❤",0,2023-10-07T11:26:37Z
@micaela1013,Now who is bestie of Bada Lee?! Taeyong or Taehyung from BTS? 😂 I really hope they meet now and become friends through Bada tho... Can that be possible? They are also 95s and have lot in common!,1,2023-10-06T08:11:12Z
@erlindatrik2289,Hyo is really kpop best dancer 😭 even her cover better than Bada's version 😭,0,2023-10-05T16:56:57Z
@MY_VIBE948,I really want taeyong to do the baggy jeans challenge with skz hyunjin or treasure leader hyunsuk.they really have same vibe.💚💚💚💚,0,2023-10-05T03:49:47Z
@힛또히,더 춰주세요😂,0,2023-10-03T11:38:04Z
@Diadiabendz,I LOVE HER SM,0,2023-10-02T15:51:01Z
@가아라-j7b,여자보다 키가 작은 태용,1,2023-09-30T07:25:09Z
@하림-u8s,ㅠㅠ 바다,0,2023-09-28T18:42:14Z
@WHI_w,"춤선 동기화 좋다,, 워낙 친하고 같이 많이 춰서 그런가 둘이 각이나 그루브 타는 게 똑같네 바다 태용 친목 계속해. 진행시켜.",4,2023-09-26T19:26:24Z
@shshdodo,이런 스탈 젤 잘어울리는 바다슨생님... 🥹🥹,2,2023-09-23T00:16:31Z
@Butterflyyiu,❤️😍,0,2023-09-22T05:33:25Z
@seventeen.carat2012,Who's that??,0,2023-09-20T21:41:20Z
@Nyangnyangee94,🩵🩵🩵,0,2023-09-20T20:20:14Z
@rksfip,Лучшие💚🔥,1,2023-09-20T14:47:28Z
@nadejdasuhanova5777,🎉🎉🎉🎉❤❤❤,0,2023-09-19T21:32:42Z
@mariatambunan9083,"Awesome guys, love it",0,2023-09-19T06:28:14Z
@이경영-q4t,바다 님 바지 정보좀 알려주실분 ?,0,2023-09-19T00:26:01Z
@sssibsdrgn,바다 바지 정보좀알려주실수있는분 천사👏🏻👏🏻👏🏻,0,2023-09-18T12:18:40Z
@류윤호-o4p,누가 댄서고 누가 아이돌인지 모를 정도로 태용 겁나 잘춘다 ㄹㅇ..,16,2023-09-18T08:18:00Z
@daeuneoms,바다쌤 진짜 넘 멋찌다..,3,2023-09-18T01:53:49Z
@Jundkwn,바다 개잘춘다,3,2023-09-16T17:30:13Z
@흠냐뤼당,바다밖에 안보인다,2,2023-09-16T14:21:47Z
@최영은-q9w,둘다 너무 잘추신다...🫶,2,2023-09-16T10:59:45Z
@진해돌문어,바다 미쳤네; 놀랍다,4,2023-09-13T22:05:09Z
@jennythejellyfish9506,Taeyong and Bada. They are just incredible,1,2023-09-13T16:46:25Z
@julianamalladas8802,I need more of this duo!!,0,2023-09-13T16:18:48Z
@icanchewbullets,bada is such an eye candy,2,2023-09-13T16:09:59Z
@STAY_2010_,الاسود بنت محجبه ولا ولد💔🤡,1,2023-09-13T14:06:53Z
@kmz8157,Bada,0,2023-09-13T10:20:28Z
@쪼쪼-k7x,팝 느낌이 달라ㅠㅠㅠㅠㅠ바다 진짜 대박..,1,2023-09-13T06:07:19Z
@callmearc,somebody in sm ent. is having fun with the emojis 😂 at first i thought it's a fanpage 😂,0,2023-09-13T06:00:59Z
@sandarasan-ri8hl,❤❤❤❤❤❤❤❤❤,0,2023-09-12T11:06:20Z
@Rinizini,그냥 태용이 두명 바다 두명인듯 .. 너무 맛있어 바다언니가 말아주는 챌린지🩵,0,2023-09-12T09:11:33Z
@rasi3625,BADAAAA,0,2023-09-12T03:05:29Z
@tok1970,와 태용 진짜 춤선이랑 실력 치인다 바다랑 춤추는거 첨 봤는데 완전 팬 됨 노래도 개간쥐셈,10,2023-09-12T00:32:40Z
@jduwuwhgqud,바다멋있다ㅜㅜ❤,0,2023-09-11T22:49:31Z
@loveis_allaround,바다 개치인다 진짜,1,2023-09-11T14:08:15Z
@포도알-k6j,ㅠㅠㅠㅠ❤,0,2023-09-11T10:03:24Z
@누가바-i7r,"바다 이 춤 추는거 너무너무 보고싶었는데 역시 기대를 져버리지 않는다,,❤ 최고",5,2023-09-11T09:34:00Z
@오예-x9s,💙💚,0,2023-09-11T00:38:05Z
@chuningum,존나좋아,1,2023-09-10T15:26:21Z
@따봉영희,역시 SM은 바다.....,2,2023-09-10T13:39:56Z
@as_in,Bada letgoooooo👊👊,0,2023-09-10T11:50:38Z
@CarlaB1B2,FIGHTING 💪LOVE Taeyong😘😘,0,2023-09-10T02:42:39Z
@이름없음-e2o1s,바다밖에 안보임 ㄷㄷㄷ,1,2023-09-09T16:15:09Z
@kurominagao5960,กางเกงสวยอ่าาา อยากได้~,0,2023-09-09T14:49:15Z
@굳굳-d8o,바다 춤 진짜 파워풀하면서 깔끔하게 잘 추는구나….,26,2023-09-09T13:42:28Z
@황복숭아,바다 진짜.. 와.. 너무 멋있다고..,2,2023-09-09T13:41:40Z
@볼코기,BADA LEEEEEeeeee,0,2023-09-09T08:27:51Z
@spacesonic1975,바다 당신 정말.. 😂 ❤,1,2023-09-09T03:52:33Z
@KB-qk5ib,absolute dream team. they fit each other's styles INSANELY well,0,2023-09-09T03:16:28Z
@razhkamaran,my head is not telling me good things😭😭😭,0,2023-09-08T21:33:53Z
@zuzu1484,SLAY BADALEE!!!,0,2023-09-08T19:33:06Z
@PoojaKumari-ty6sh,This is beyond perfection 💞😍 so on beat...and groovy.,0,2023-09-08T19:12:01Z
@unknownbeing6545,Perfecr duo🔥,0,2023-09-08T19:06:43Z
