author,text,likes,published_at
@youmakeskzstay9,Why does Bangchan always have to be so nice? That's so sweet,0,2025-04-21T00:25:54Z
@cristmass12,Omg I am dieing😂,0,2025-04-20T20:48:46Z
@Nova123YT,When will innie accept chans hugs😂😂😂😂😂,0,2025-04-15T19:02:49Z
@lilykea,❤,0,2025-04-14T15:35:19Z
@KxNOxUTA,😂 Our Channie with his tall youngest!,0,2025-04-12T17:03:33Z
@BarbaraPezzali,Aww so cute 🥺❤️,1,2025-04-10T11:13:30Z
@WangMengyaoNorthvistaps,their soo cute,0,2025-04-09T14:05:05Z
@戸田浩貴-w1o,バンちゃんの顔普通にタイプなんよなアイエンはまじで可愛すぎる,0,2025-04-04T00:25:09Z
@MofuMinji,Maknae and Hyung:😂,0,2025-04-03T11:54:43Z
@josephinehopson273,I wish I could see them in real life but I can’t because I am in barrow and they are in Korean. Stray kids!!!!!!!!!!!!!!!!!!💋💋💋💋💋💋💋💋,0,2025-04-02T05:43:07Z
@MelissaHernándezRamírez-g4c,Bangchan y i.n i like it stray kids skz gusta mucho te amo tanto mucho,0,2025-04-01T00:08:22Z
@Rogue-edits17,:] ❤,0,2025-03-29T13:14:10Z
@staywithme_5124,RUN JEONGIN RUN,0,2025-03-29T02:20:44Z
@ryutym,THW WAY HE CHASED HIM MY HEART CANT DEAL WITH THIS BRO PLEASE,0,2025-03-28T02:58:22Z
@Always_valeriee,Oldest and youngest>>>>>,1,2025-03-27T16:40:55Z
@soaptheslipperyone,Hi stray kids❤❤❤,0,2025-03-26T23:17:41Z
@SimaSoren-c1c,So cute❤,0,2025-03-26T07:03:59Z
@skzCHANNIE-INNIEKANGAROO,AAAHHHHGGGFF MY BIAAAASSS,1,2025-03-24T22:20:43Z
@Moonlight_City,Leader and maknae ❤❤❤,0,2025-03-23T21:48:08Z
@8l.i.x6,The nicest two in the band together🌷💥,0,2025-03-23T16:29:07Z
@InnieFan,I love Jeongins smile it’s so cute ❤❤,0,2025-03-23T08:51:31Z
@Stray_winter,A dupla perfeita 🫶🇧🇷🇧🇷🇧🇷,1,2025-03-21T21:19:40Z
@1FanOfStrayKids1,❤❤❤❤,1,2025-03-20T20:58:22Z
@Kawiigirl-q7o,Cute❤❤❤,0,2025-03-20T18:46:35Z
@Stay_joengin,Not bangchan at every dance with jeongin (i.n) he run to hug him 😭🌷 they are so sweet omg I can't,0,2025-03-19T22:59:11Z
@SunflowerPosts,The maknae and hyung ❤,0,2025-03-18T04:42:03Z
@Hypeebow,OMG THE RUN❤❤❤❤,0,2025-03-17T11:46:20Z
@esmitachofitalopez,Ayudenlo a correr al viejito de 60 años!,0,2025-03-16T18:35:08Z
@MirnaLeónLeón,Cute i.n and Bangchan the way how bangchan ran fast,0,2025-03-16T15:41:55Z
@Yukath4td00dg3,THE CHASE AT THE END😭 I CANT THEY ARE TOO CUTE ❤,0,2025-03-13T06:03:46Z
@SaraBartkova-o2u,The way BangChan chased I.N in the end. ❤❤❤❤😊😊😊😊.,1,2025-03-13T05:28:09Z
@curubs,❤❤❤,0,2025-03-09T23:59:25Z
@MariangelMontiel-x1v,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤Beutiful,0,2025-03-05T14:26:51Z
@JudithMendoza-f8i,I love you 🫰🫰,0,2025-03-05T13:15:06Z
@chaew_o_ni,maknae and the eldest = the best duo ever! <3,1,2025-03-05T12:53:11Z
@Wapulz1989,❤❤❤❤,0,2025-03-04T12:46:12Z
